timeframe,family,variant,n_trades,win_rate,payoff_free,be_payoff,edge_free,exp_r_free,exp_r_real,exp_usd_real,pf_free,pf_real
H4,H2_volatility_regime,0,58,25.862068965517242,5.256088464032369,2.8666666666666667,2.3894217973657024,0.7341077224194337,0.5823906935435187,58.23906935435187,1.8335192316391984,1.628273276740892
H4,H2_volatility_regime,8,57,28.07017543859649,4.552508428101558,2.5625,1.9900084281015582,0.618111190754275,0.48394027328540273,48.394027328540275,1.7765886548689007,1.5759919230439632
H4,H2_volatility_regime,4,90,26.666666666666668,4.561595610158493,2.7500000000000004,1.8115956101584927,0.521419271630258,0.3982341448036517,39.82341448036517,1.6587620400576337,1.4816358261379952
H4,H2_volatility_regime,2,57,35.08771929824561,2.9148538343308346,1.85,1.0648538343308345,0.3688207864540514,0.3316868821266579,33.16868821266579,1.5755966672058566,1.5040014670188409
H4,H2_volatility_regime,6,84,38.095238095238095,2.5551765521680414,1.6250000000000002,0.9301765521680412,0.34058885475119705,0.276879616346613,27.687961634661303,1.572416339795718,1.4493262637390272
H4,H2_volatility_regime,14,84,36.904761904761905,2.50414991881007,1.7096774193548385,0.7944724994552317,0.28568515688720386,0.23928893595706646,23.928893595706647,1.4646914619455127,1.3791824268411494
H4,H1_trend_persistence,7,94,13.829787234042554,8.107946903360618,6.23076923076923,1.8771776725913885,0.29588793294444327,0.18843031070965924,18.843031070965925,1.3012754289344202,1.1837465318715519
H4,H2_volatility_regime,12,91,25.274725274725274,3.824354220210963,2.956521739130435,0.8678324810805278,0.23741370202431658,0.15553626769023415,15.553626769023415,1.2935315744831197,1.18472515743464
H4,H1_trend_persistence,9,70,21.428571428571427,4.50521244262734,3.666666666666667,0.8385457759606734,0.1835464488167685,0.14903764829485672,14.903764829485672,1.2286943025347292,1.1803066469296357
H4,H1_trend_persistence,6,111,15.315315315315313,6.702722707124898,5.529411764705883,1.1733109424190147,0.22412674856823966,0.14708653279821432,14.708653279821432,1.2121945321396093,1.1354862097905485
H1,H1_trend_persistence,3,240,22.916666666666664,4.326846348281839,3.3636363636363638,0.9632099846454749,0.2643417983975579,0.12127764238932962,12.127764238932961,1.2863597251648706,1.138734304921487
H4,H2_volatility_regime,10,56,30.357142857142854,3.0267564979758506,2.294117647058824,0.7326388509170267,0.20548595839940792,0.12001412683140207,12.001412683140208,1.319355396553576,1.1816923597594742
H4,H1_trend_persistence,11,57,26.31578947368421,3.4676895843917768,2.8000000000000003,0.6676895843917765,0.14822170320136185,0.11716711978893647,11.716711978893647,1.238460565854206,1.1818373293561288
H4,H2_volatility_regime,9,58,31.03448275862069,3.02325390886083,2.2222222222222223,0.8010316866386078,0.1953151823861507,0.09436864539725526,9.436864539725526,1.3604642589873737,1.1598163682973557
H1,H1_trend_persistence,9,160,15.625,6.448813391083899,5.4,1.0488133910838986,0.20880697596117556,0.08993335790084865,8.993335790084865,1.1942247020525738,1.0826304750987132
H4,H1_trend_persistence,0,156,24.358974358974358,3.661024353529703,3.1052631578947367,0.5557611956349664,0.1622846811174063,0.06989871104895828,6.989871104895828,1.178973944357023,1.0763903368645504
H1,H1_trend_persistence,11,130,19.230769230769234,4.844773935505461,4.2,0.6447739355054605,0.13277786805132008,0.058522629132371856,5.852262913237186,1.1535176036917765,1.0661487747161418
