timeframe,lookback_months,sharpe,sharpe_ci_lo,sharpe_ci_hi,significant,cagr_pct,max_dd_pct,realized_vol_pct,pct_time_long,turnover_per_year,years
H1,1,0.437,-0.406,1.281,False,5.7,-25.3,15.4,52.4,254.6,5.92
H1,3,0.582,-0.29,1.453,False,7.98,-24.5,15.2,54.4,109.4,5.92
H1,6,0.293,-0.53,1.116,False,3.3,-32.5,14.9,60.6,93.9,5.92
H1,12,0.232,-0.585,1.049,False,2.31,-44.3,14.2,57.7,67.5,5.92
H4,1,0.226,-0.553,1.005,False,2.34,-29.6,15.8,53.1,152.4,6.49
H4,3,0.622,-0.219,1.462,False,8.84,-27.5,15.6,54.9,69.8,6.49
H4,6,0.606,-0.231,1.443,False,8.42,-21.0,15.3,60.7,53.1,6.49
H4,12,0.302,-0.485,1.089,False,3.41,-38.1,14.7,57.0,48.4,6.49
D1,1,0.113,-0.611,0.837,False,0.48,-30.9,16.9,53.1,80.5,7.37
D1,3,0.409,-0.343,1.16,False,5.58,-39.7,16.7,55.1,45.1,7.37
D1,6,0.307,-0.432,1.046,False,3.77,-49.1,16.5,60.3,31.8,7.37
D1,12,0.217,-0.513,0.948,False,2.21,-40.1,15.8,59.5,34.8,7.37
W1,1,0.259,-0.553,1.072,False,3.07,-37.4,17.6,51.4,28.5,6.02
W1,3,0.242,-0.568,1.053,False,2.75,-34.5,17.5,54.0,17.5,6.02
W1,6,0.154,-0.649,0.958,False,1.19,-35.0,17.3,60.7,15.6,6.02
W1,12,-0.117,-0.919,0.685,False,-3.17,-48.4,16.3,58.5,12.8,6.02
